model,name,category,brand,voltage_class,rated_frequency,rated_voltage,rated_insulation_voltage,power_frequency_withstand_voltage,rated_impulse_withstand_voltage,rated_current,short_time_withstand_current,short_circuit_breaking_current,short_circuit_making_current,protection_degree,standard,dimension,capacity,scheme_options,raw_parameters,extra_notes
ZSS-12,"AC solid insulated metal enclosed switchgear, RMU",Switchgear / RMU,Zhebao,,,12kV,,,,"630A (load switch panel, VCB panel), 1250A (LS-Fuse combined panel)",20kA,"31.5kA (combined panel), 20kA (VCB panel)",,"IP40, door open IP2x",IEC62271-200,1200H *420W *860D (mm),,"vacuum load switch panel ZSS-12(F), load switch - fuse combined ZSS-12(FR), Vacuum CB panel ZSS-12(Z)","Model: ZSS-12 | Name: AC solid insulated metal enclosed switchgear, RMU | Scheme options: vacuum load switch panel ZSS-12(F), load switch - fuse combined ZSS-12(FR), Vacuum CB panel ZSS-12(Z) | Rated voltage (Ue): 12kV | Rated current (Ir): 630A (load switch panel, VCB panel), 1250A (LS-Fuse combined panel) | Short time withstand current (Icw) (4s): 20kA | Short circuit drop-out current: 31.5kA (combined panel), 20kA (VCB panel) | Rated take over current: 3150A (LS-fuse combined panel) | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: 1200H *420W *860D (mm)",Rated take over current: 3150A (LS-fuse combined panel)
HGBZ-12,HV parallel Capacitor Reactive Power Compensation Device,Power Quality / DC Supply,Zhebao,,50Hz,3.6kV~ 12kV,,,,,,,,IP30/ IP41,IEC62271-200,"control cabinet 2200H *800W *600D (mm), battery cabinet 2200H *800W *600D",2*8000 kvar,,"Model: HGBZ-12 | Name: HV parallel Capacitor Reactive Power Compensation Device | Rated frequency: 50Hz | Rated voltage: 3.6kV~ 12kV | Rated capacity: 2*8000 kvar | Hi-freq rectifying modulazation structure | Microcomputer auto monitoring system | Remote control, measuring, signalling and adjustment | Protect Degree: IP30/ IP41 | Standard: IEC62271-200 | Dimension: control cabinet 2200H *800W *600D (mm), battery cabinet 2200H *800W *600D","Hi-freq rectifying modulazation structure | Microcomputer auto monitoring system | Remote control, measuring, signalling and adjustment"
HZDW,Intelligent Hi-frequency DC power cabinet,Power Quality / DC Supply,Zhebao,,50Hz,AC 220V / AC380V,,,,,,,,IP30/ IP41,IEC61439-1:2011,"control cabinet 2200H *800W *600D (mm), battery cabinet 2200H *800W *600D",,,"Model: HZDW | Name: Intelligent Hi-frequency DC power cabinet | Rated frequency: 50Hz | Rated input voltage: AC 220V / AC380V | Rated output voltage: DC 220V / DC110V | Rated battery capacity: 20Ah 38Ah 50Ah 65Ah 100Ah 150Ah 200Ah 300Ah | High frequency rectifying modulazation structure | Microcomputer automatic monitoring system | Remote control, measuring, signalling and adjustment | Protect Degree: IP30/ IP41 | Standard: IEC61439-1:2011 | Dimension: control cabinet 2200H *800W *600D (mm), battery cabinet 2200H *800W *600D","Rated output voltage: DC 220V / DC110V | Rated battery capacity: 20Ah 38Ah 50Ah 65Ah 100Ah 150Ah 200Ah 300Ah | High frequency rectifying modulazation structure | Microcomputer automatic monitoring system | Remote control, measuring, signalling and adjustment"
GCD (HYDS),AC low voltage fixed partition switchgear,Switchgear / RMU,Zhebao,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,4000A,,,,IP20~ IP54,IEC61439-1:2011,2200H *600/ 800/ 900/ / 1200/ 1500W *600/ 800/ 1000D (mm),,,Model: GCD (HYDS) | Name: AC low voltage fixed partition switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated current (Ir): 4000A | Vertical Bus Rated current (Ir): 4000A | Horizontal Busbar Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: fixed partition type | Protect Degree: IP20~ IP54 | Standard: IEC61439-1:2011 | Dimension: 2200H *600/ 800/ 900/ / 1200/ 1500W *600/ 800/ 1000D (mm),Vertical Bus Rated current (Ir): 4000A | Horizontal Busbar Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: fixed partition type
MNS (MNX),AC low voltage drawable switchgear,Switchgear / RMU,Zhebao,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,2940A,,,,IP20~ IP54,IEC61439-1:2011,2200H *400-1200W *600-1000D (mm),,,Model: MNS (MNX) | Name: AC low voltage drawable switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated current (Ir): 2940A | Vertical Bus Rated current (Ir): 1000A | Horizontal Busbar Short time withstand current (Icw) (1s): 100kA | Vertical Bus Short time withstand current (Icw) (4s): 90kA 130kA | Functional units: module type | Protect Degree: IP20~ IP54 | Standard: IEC61439-1:2011 | Dimension: 2200H *400-1200W *600-1000D (mm),Vertical Bus Rated current (Ir): 1000A | Horizontal Busbar Short time withstand current (Icw) (1s): 100kA | Vertical Bus Short time withstand current (Icw) (4s): 90kA 130kA | Functional units: module type
GCS,AC low voltage withdrawable switchgear,Switchgear / RMU,Zhebao,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,6300A or lower,,,,IP20~ IP54,IEC61439-1:2011,2200H *400/ 600/ 800/ 1000W * 600/ 800/ 1000D (mm),,,Model: GCS | Name: AC low voltage withdrawable switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated current (Ir): 6300A or lower | Vertical Bus Rated current (Ir): 1500A | Horizontal Busbar Short time withstand current (Icw) (1s): 30kA 50kA 100kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: drawable type | Protect Degree: IP20~ IP54 | Standard: IEC61439-1:2011 | Dimension: 2200H *400/ 600/ 800/ 1000W * 600/ 800/ 1000D (mm),Vertical Bus Rated current (Ir): 1500A | Horizontal Busbar Short time withstand current (Icw) (1s): 30kA 50kA 100kA | Vertical Bus Short time withstand current (Icw) (4s): 30kA 50kA 85kA | Functional units: drawable type
GCK,AC low voltage withdrawable switchgear,Switchgear / RMU,Zhebao,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,1250-6300A,,,,IP20~ IP40,IEC61439-1:2011,2200H *600/ 800/ 1000/ 1200W * 800/ 1000D (mm),,,"Model: GCK | Name: AC low voltage withdrawable switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated current (Ir): 1250-6300A | Vertical Bus Rated current (Ir): 1200A | Horizontal Busbar Short time withstand current (Icw) (1s): 30kA 50, 80, 100kA | Vertical Bus Short time withstand current (Icw) (1s): 30kA 50kA 80kA | Functional units: drawable type | Protect Degree: IP20~ IP40 | Standard: IEC61439-1:2011 | Dimension: 2200H *600/ 800/ 1000/ 1200W * 800/ 1000D (mm)","Vertical Bus Rated current (Ir): 1200A | Horizontal Busbar Short time withstand current (Icw) (1s): 30kA 50, 80, 100kA | Vertical Bus Short time withstand current (Icw) (1s): 30kA 50kA 80kA | Functional units: drawable type"
HDB,HDB low voltage reactive power compensation device,Power Quality / DC Supply,Zhebao,Low Voltage (<=1kV),,,,,,,,,,,,,,,Model: HDB | Name: HDB low voltage reactive power compensation device,
XGN80-40.5 (compact GIS),AC gas insulated metal enclosed switchgear RMU (GIS),Switchgear / RMU,Zhebao,,,40.5kV 33KV,,,,1250A 2000A,31.5kA,,,"SF6 enclosure IP67, shell IP4x",IEC62271-200,2300H *600/800W *1500/1760D (mm) per panel unit,,,"Model: XGN80-40.5 (compact GIS) | Name: AC gas insulated metal enclosed switchgear RMU (GIS) | Rated voltage (Ue): 40.5kV 33KV | Rated current (Ir): 1250A 2000A | Short time withstand current (Icw) (3s): 31.5kA | Sulfur hexafluoride SF6 as insulation and arc interrupter | SS full sealed cabinet; Primary active parts all in protective gas cubicle | Visible indicator on interlock | Compact design, for outdoor cable branch box or sub section post (SSP) | Protect Degree: SF6 enclosure IP67, shell IP4x | Standard: IEC62271-200 | Dimension: 2300H *600/800W *1500/1760D (mm) per panel unit","Sulfur hexafluoride SF6 as insulation and arc interrupter | SS full sealed cabinet; Primary active parts all in protective gas cubicle | Visible indicator on interlock | Compact design, for outdoor cable branch box or sub section post (SSP)"
XGN17-40.5,AC Box type metal enclosed switchgear,Switchgear / RMU,Zhebao,,,,,,,,,,,,,,,,Model: XGN17-40.5 | Name: AC Box type metal enclosed switchgear,
XGN66-12,AC MV vacuum circuit breaker switchgear,Circuit Breaker,Zhebao,,,,,,,,,,,,,,,,Model: XGN66-12 | Name: AC MV vacuum circuit breaker switchgear,
KYN44-12kV,AC metal enclosed central positioned switchgear,Switchgear / RMU,Zhebao,Medium Voltage (3.6-24kV),,,,,,,,,,,,,,,Model: KYN44-12kV | Name: AC metal enclosed central positioned switchgear,
GGD,AC low voltage power distribution switchgear,Switchgear / RMU,Zhebao,Low Voltage (<=1kV),,,,,,,,,,,,,,,Model: GGD | Name: AC low voltage power distribution switchgear,
FCC,Frequency conversion control device specialized for nuclear power,Other,Zhebao,,,,,,,,,,,,,,,,Model: FCC | Name: Frequency conversion control device specialized for nuclear power,
Siemens NXAirS LP,AC medium voltage metal enclosed switchgear,Switchgear / RMU,Siemens,,,12kV,,42/48kV,75/85kV,4000A,40kA,40kA,100kA,"IP40, door open IP2x",IEC62271-200,≦2500A 2200H *800W *1350D (mm) ≧3150A 2300*1000*1450,,,"Model: Siemens NXAirS LP | Name: AC medium voltage metal enclosed switchgear | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42/48kV | Rated impulse withstand voltage (Uimp): 75/85kV | Rated busbar current (Ir): 4000A | Short time withstand current (Icw) (4s): 40kA | Short circuit drop-out current: 40kA | Short circuit making current (4s): 100kA | Peak withstand current: 100kA | Protect Degree: IP40, door open IP2x | Standard: IEC62271-200 | Dimension: ≦2500A 2200H *800W *1350D (mm) ≧3150A 2300*1000*1450",Peak withstand current: 100kA
Siemens 8BK81-12,AC medium voltage metal enclosed withdrawable switchgear,Switchgear / RMU,Siemens,,,12kV,,"42/48kV for VCB, 32/42kV for F-C","75/85kV for VCB, 60/75 for F-C",4000A,"63kA/3s for VCB, 4kA/4s for F-C",50kA,100kA,"IP4X, door open IP2x",IEC62271-200,"(VCB) 2200H *800 / 1000W *1800D (mm) ,(F-C) 2200H*500 / 650W*1800D",,,"Model: Siemens 8BK81-12 | Name: AC medium voltage metal enclosed withdrawable switchgear | Rated voltage (Ue): 12kV | Power frequency withstand voltage (1min): 42/48kV for VCB, 32/42kV for F-C | Rated impulse withstand voltage (Uimp): 75/85kV for VCB, 60/75 for F-C | Rated busbar current (Ir): 4000A | Short time withstand current (Icw): 63kA/3s for VCB, 4kA/4s for F-C | Short circuit drop-out c (F-C): 50kA | Short circuit making current (F-C): 100kA | Peak withstand current: 160kA/ 10kA | Protect Degree: IP4X, door open IP2x | Standard: IEC62271-200 | Dimension: (VCB) 2200H *800 / 1000W *1800D (mm) ,(F-C) 2200H*500 / 650W*1800D",Peak withstand current: 160kA/ 10kA
SIEMENS SIMOSEC,AC MV metal enclosed switchgear,Switchgear / RMU,Siemens,,,"12kV, 24kV",,"42kV, 65kV","75kV, 125kV","630A (load switch panel), 125A (LS-Fuse combined)","25kA(1s), 20kA(3s)","31.5kA (combined panel, CB panel)",,,,"for LS and Comb 1700H *375(500)W *1000D (mm), for VCB & metering 1700H *750W *1000D",,"load switch panel, LBS-fuse combined apparatus, CB panel, metering, cable cabinet","Model: SIEMENS SIMOSEC | Name: AC MV metal enclosed switchgear | Scheme options: load switch panel, LBS-fuse combined apparatus, CB panel, metering, cable cabinet | Rated voltage (Ue): 12kV, 24kV | Power frequency withstand voltage (1min): 42kV, 65kV | Rated impulse withstand voltage (Uimp): 75kV, 125kV | Rated current (Ir): 630A (load switch panel), 125A (LS-Fuse combined) | Short time withstand current (Icw): 25kA(1s), 20kA(3s) | Short circuit drop-out current: 31.5kA (combined panel, CB panel) | Rated transfer current: 1150A (comb) | Dimension: for LS and Comb 1700H *375(500)W *1000D (mm), for VCB & metering 1700H *750W *1000D",Rated transfer current: 1150A (comb)
SIEMENS Sivacon 8PT,AC low voltage switchgear,Switchgear / RMU,Siemens,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V/ 690V,1000V,,,7000A,,,,IP30/31/40/41/42/54,IEC 61439-1 & 2,2200/ 2300/ 2600H *400/ 600/ 800/ 1200W *600/ 800/ 1000/ 1200D (mm),,,"Model: SIEMENS Sivacon 8PT | Name: AC low voltage switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V/ 690V | Rated insulation voltage(Ui): 1000V | Horizontal Busbar Rated current (Ir): 7000A | Vertical Bus Rated current (Ir): 2000A | Horizontal Busbar Short time withstand current (Icw): 150kA(1s), 120kA(3s) | Vertical Bus Short time withstand current (Icw): 65kA(1s), 50kA(3s) | Functional units: withdrawble type/ (fixed partition type) | Protect Degree: IP30/31/40/41/42/54 | Standard: IEC 61439-1 & 2 | Dimension: 2200/ 2300/ 2600H *400/ 600/ 800/ 1200W *600/ 800/ 1000/ 1200D (mm)","Vertical Bus Rated current (Ir): 2000A | Horizontal Busbar Short time withstand current (Icw): 150kA(1s), 120kA(3s) | Vertical Bus Short time withstand current (Icw): 65kA(1s), 50kA(3s) | Functional units: withdrawble type/ (fixed partition type)"
SIEMENS Sikus,AC low voltage fixed partition type switchgear,Switchgear / RMU,Siemens,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V,690V,,,6400A,,,,IP30/ IP41,IEC 61439-1 & 2,2200/ 2300H *700/ 1000W *600/ 800/ 1000D (mm),,,Model: SIEMENS Sikus | Name: AC low voltage fixed partition type switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V | Rated insulation voltage(Ui): 690V | Horizontal Busbar Rated current (Ir): 6400A | Vertical Bus Rated current (Ir): 3200A | Horizontal Busbar Short time withstand current (Icw): 100kA(1s) | Vertical Bus Short time withstand current (Icw): 100kA(1s) | Functional units: fixed partition type | Protect Degree: IP30/ IP41 | Standard: IEC 61439-1 & 2 | Dimension: 2200/ 2300H *700/ 1000W *600/ 800/ 1000D (mm),Vertical Bus Rated current (Ir): 3200A | Horizontal Busbar Short time withstand current (Icw): 100kA(1s) | Vertical Bus Short time withstand current (Icw): 100kA(1s) | Functional units: fixed partition type
ABB UniSwitch,AC interval metal enclosed switchgear,Switchgear / RMU,Abb,,,12kV,,42kV,75kV,"630A (load switch panel), 125A (LS-Fuse combined)",25kA,"31.5kA (combined panel, CB panel)",,,,"for LS and Comb 1635(1885)H *375(500)W *1000D (mm), for VCB 1885H *650W *1000D",,"load switch panel, load switch - fuse combined, CB panel, metering, cable cabinet","Model: ABB UniSwitch | Name: AC interval metal enclosed switchgear | Scheme options: load switch panel, load switch - fuse combined, CB panel, metering, cable cabinet | Rated voltage (Ue): 12kV | Power freq withstand volt(1min): 42kV | Rated impulse withstand voltage (Uimp): 75kV | Rated current (Ir): 630A (load switch panel), 125A (LS-Fuse combined) | Short time withstand current (Icw) (4s): 25kA | Short circuit drop-out current: 31.5kA (combined panel, CB panel) | Rated transfer current: 1700A (comb) | Dimension: for LS and Comb 1635(1885)H *375(500)W *1000D (mm), for VCB 1885H *650W *1000D",Rated transfer current: 1700A (comb)
ABB MNS2.0,AC low voltage withdrawable switchgear,Switchgear / RMU,Abb,Low Voltage (<=1kV),AC 50Hz / 60Hz,400V,690V,,,6300A,,,,IP30~ IP54,IEC 61439-1 & 2,2200H *400/ 600/ 800/ 1000/ 1200W *800/ 1000/ 1200D (mm),,,Model: ABB MNS2.0 | Name: AC low voltage withdrawable switchgear | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 400V | Rated insulation voltage(Ui): 690V | Horizontal Busbar Rated current (Ir): 6300A | Vertical Bus Rated current (Ir): 2000A | Horizontal Busbar Short time withstand current (Icw) (4s): 100kA | Vertical Bus Short time withstand current (Icw) (4s): 80kA | Functional units: withdrawable | Protect Degree: IP30~ IP54 | Standard: IEC 61439-1 & 2 | Dimension: 2200H *400/ 600/ 800/ 1000/ 1200W *800/ 1000/ 1200D (mm),Vertical Bus Rated current (Ir): 2000A | Horizontal Busbar Short time withstand current (Icw) (4s): 100kA | Vertical Bus Short time withstand current (Icw) (4s): 80kA | Functional units: withdrawable
ABB MNS-E/S,AC low voltage power distribution box,Distribution Box,Abb,Low Voltage (<=1kV),AC 50Hz / 60Hz,380V,400V,,,250A,6kA(1s),,,IP30,IEC 61439-1 & 2,1000/ 950 (differ 50mm)...600/ 550H *900/ 850 (differ 50mm)...500/ 450W *300/ 275 (differ 25mm)... 200/ 175D (mm),,,"Model: ABB MNS-E/S | Name: AC low voltage power distribution box | Rated frequency: AC 50Hz / 60Hz | Rated voltage (Ue): 380V | Rated insulation voltage(Ui): 400V | Rated current (Ir): 250A | Short time withstand c (Icw): 6kA(1s) | Standardized design, compact structure and versatility | Opening angle of the cabinet is 180 degrees | Eelectrical mounting plate can be detachable separately | Protect Degree: IP30 | Standard: IEC 61439-1 & 2 | Dimension: 1000/ 950 (differ 50mm)...600/ 550H *900/ 850 (differ 50mm)...500/ 450W *300/ 275 (differ 25mm)... 200/ 175D (mm)","Standardized design, compact structure and versatility | Opening angle of the cabinet is 180 degrees | Eelectrical mounting plate can be detachable separately"
