company,country,city,icp_segment,product_focus,website,public_email,public_phone,public_whatsapp,fit_notes,source,verified_date
Hegazy Group,Egypt,Alexandria & New Cairo,ICP-A,"Schneider/ABB distribution gear",https://hegazy-group.com,,+20 100 216 0371,+20 100 216 0371,"Major electrical distributor; multi-store",hegazy-group.com,2026-06-27
ATCS for Control Systems,Egypt,Cairo (Maadi),ICP-C,"Control systems, panels, automation",https://atcs-eg.com,info@atcs-eg.com,+20 100 902 1327,+20 100 902 1327,"Certified distributor + panel manufacturer",atcs-eg.com,2026-06-27
Alfreeg for Trading,Egypt,Cairo (Downtown),ICP-A,"Electrical/electronic, Iskra agent",http://www.alfreeg.com,info@alfreeg.com,+202 2392 6839,,"Sole agent/distributor; trading house",alfreeg.com/about-us,2026-06-27
2M Electric Group,Egypt,Ismailia,ICP-C,LV/MV panels (ISO-certified),https://2melectricgroup.com,,,,"Panel builder & system supplier nationwide",2melectricgroup.com,2026-06-27
Al Sondos for International Trading & Contracting,Egypt,Cairo,ICP-A,ABB channel partner,,info@alsondos.net,+20 2 2773 9611,,"ABB Egypt channel partner",ABB Egypt channel partners directory,2026-06-27
Darshil Enterprise Nigeria,Nigeria,Lagos,ICP-A,LV switchgear (Siemens dealer),https://nigeria.darshilenterprise.com,,,,"Authorized dealer/distributor of LV switchgear",nigeria.darshilenterprise.com,2026-06-27
Tamaktech Enterprise,Nigeria,Nigeria,ICP-A,Industrial electrical equipment,,info@tamaktech.com,+234 705 044 4211,+234 705 044 4211,"Industrial electrical equipment supplier",Google AI overview,2026-06-27
Powerex Limited,Nigeria,Ikeja (Lagos),ICP-A,"Power & switchgear (Eaton distributor)",https://powerex-limited.com,info@powerex-limited.com,+234 814 275 8920,,"Accredited distributor for major power brands",powerex-limited.com / Eaton distributor list,2026-06-27
EES Global Services Ltd,Nigeria,Port Harcourt,ICP-A,ABB products distribution,https://www.ees-services.com,,+234 907 902 1130,,"ABB products distributor; switchgear & transformer",ees-services.com,2026-06-27
D.N.N. Power Nigeria Limited,Nigeria,Lagos (Alaba Intl Market),ICP-A,"Switchgear, overhead materials, transformers",,,+234 902 148 6809,+234 902 148 6809,"Importer & supplier of switchgear + power transformers",Google AI overview,2026-06-27
Elecom Group,Vietnam,Vietnam,ICP-A,MV & LV equipment distribution,https://www.elecom.vn,info@elecom.vn,,,"MV & LV electric equipment distributor",elecom.vn,2026-06-27
Asia Technology and Energy System Co. Ltd (A-Tech),Vietnam,Ho Chi Minh City,ICP-A,Switchgear (SGC official dealer),,triet.atech@gmail.com,+84 28 36200164,,"Official dealer for Switchgear Company (SGC)",switchgearcompany.eu announcement,2026-06-27
Hung Viet Automation Electric Co. Ltd,Vietnam,Binh Duong,ICP-A,LS electrical switchgear distribution,https://hungvietautomation.com,kinhdoanh@hungvietautomation.com,,,"Distributor of electrical & automation switchgear",yellowpages.com.vn,2026-06-27
Saigon Industrial Equipment Trading & Service Co. Ltd,Vietnam,Ho Chi Minh City,ICP-A,MV electrical equipment,,,,,"MV electrical equipment trader; contact via Yellow Pages",yellowpages.com.vn,2026-06-27
PT Semacom Integrated Tbk,Indonesia,Jakarta,ICP-C,LV/MV panel manufacturing,https://sema.id,,+62 21 861 5872,+62 821 2577 9751,"Panel manufacturer - buys components/breakers",sema.id,2026-06-27
Powertek Indo Asia,Indonesia,Jakarta,ICP-C,"MV/LV switchgear panels (Siemens partner)",https://powertek-indoasia.com,,+62 21 580 0550,,"Siemens licensed partner; custom MV panels",powertek-indoasia.com,2026-06-27
PT Jeko Elektrindo Jaya,Indonesia,Tangerang (Banten),ICP-C,LV/MV/HV switchgear manufacturing,https://www.jekoelektrindojaya.com,,+62 21 382 78615,,"Switchgear & panel manufacturer; component buyer",jekoelektrindojaya.com,2026-06-27
PT Prima Mitra Teknologi Energi,Indonesia,Indonesia,ICP-C,MV switchgear (AIS/GIS/2SIS),https://pmte.id,,,,"MV switchgear provider; contact via site",pmte.id,2026-06-27
PT Semesta Eltrindo Pura (PTSEP),Indonesia,Indonesia,ICP-C,Primary/secondary distribution switchgear,https://ptsep.id,,,,"Switchgear manufacturer; contact via site",ptsep.id,2026-06-27
